comparacao,familia,n_queries,diff,p_raw,p_holm,ci_low,ci_high,significativo_holm
bge-m3: v1 vs v2,ablacao_catalogo,80,-0.03257999999999999,0.2238,1.0,-0.0863865,0.01952137499999999,False
bge-m3: v2 vs v3,ablacao_catalogo,80,-0.08374625,0.0326,0.4564,-0.16459281250000002,-0.00831596875000016,False
bge-m3: v1 vs v3,ablacao_catalogo,80,-0.11632625,0.0102,0.15300000000000002,-0.20770599999999997,-0.028821875000000025,False
e5-base: v1 vs v2,ablacao_catalogo,80,-0.1208525,0.0074,0.1258,-0.21126675,-0.03267746875000001,False
e5-base: v2 vs v3,ablacao_catalogo,80,-0.0047050000000000035,0.9398,1.0,-0.10441190625,0.09375262499999998,False
e5-base: v1 vs v3,ablacao_catalogo,80,-0.1255575,0.0054,0.09720000000000001,-0.21513881250000003,-0.03389246875,False
e5-large: v1 vs v2,ablacao_catalogo,80,-0.049882499999999996,0.1652,1.0,-0.12196749999999998,0.020130374999999853,False
e5-large: v2 vs v3,ablacao_catalogo,80,0.05071250000000001,0.2788,1.0,-0.04375671875,0.1411373437499999,False
e5-large: v1 vs v3,ablacao_catalogo,80,0.0008300000000000085,0.9692,1.0,-0.0975025,0.0979125,False
e5-large-instruct: v1 vs v2,ablacao_catalogo,80,0.008628750000000001,0.775,1.0,-0.05595253125,0.0693510937499999,False
e5-large-instruct: v2 vs v3,ablacao_catalogo,80,0.016665000000000006,0.7148,1.0,-0.07793271874999999,0.1095825,False
e5-large-instruct: v1 vs v3,ablacao_catalogo,80,0.025293750000000025,0.5944,1.0,-0.07233309375,0.1208946874999999,False
minilm: v1 vs v2,ablacao_catalogo,80,0.027380000000000005,0.2992,1.0,-0.02375,0.0794625625,False
minilm: v2 vs v3,ablacao_catalogo,80,-0.04571749999999999,0.2768,1.0,-0.1277670625,0.035391906249999994,False
minilm: v1 vs v3,ablacao_catalogo,80,-0.018337499999999986,0.7186,1.0,-0.11403540625000001,0.07591046875,False
serafim: v1 vs v2,ablacao_catalogo,80,-0.05906750000000001,0.0674,0.8762,-0.12262415624999999,0.003664875000000004,False
serafim: v2 vs v3,ablacao_catalogo,80,-0.05083375,0.1566,1.0,-0.12250125,0.01833375,False
serafim: v1 vs v3,ablacao_catalogo,80,-0.10990124999999999,0.0092,0.1472,-0.195991125,-0.027281812500000033,False
